건물명,식당명,메뉴,가격,,건물명,식당명,시작시간,종료시간,라스트오더
학생회관,아지오,제육 비빔밥,5800,,,,,,
학생회관,아지오,삼겹살강된장 비빔밥,5500,,,,,,
학생회관,아지오,삼겹살볶음고추장비빔밥,5500,,,,,,
학생회관,아지오,간장돼불마요 비빔밥,6000,,,,,,
학생회관,아지오,불닭비빔밥,5500,,,,,,
학생회관,아지오,수육정식,7500,,,,,,
학생회관,아지오,대패삼겹 비빔밥,5500,,,,,,
학생회관,아지오,돈까스 카레덮밥,4800,,,,,,
학생회관,아지오,왕새우튀김 카레덮밥,5800,,,,,,
학생회관,아지오,함박 카레덮밥,4500,,,,,,
학생회관,아지오,치킨텐더 카레덮밥,4800,,,,,,
학생회관,아지오,롱소세지 카레덮밥,5000,,,,,,
학생회관,아지오,해쉬브라운 카레덮밥,5000,,,,,,
학생회관,아지오,닭강정,3800,,,,,,
학생회관,아지오,소떡소떡,3000,,,,,,
학생회관,아지오,회오리감자,3300,,,,,,
학생회관,김밥천국,진라면(매운맛),2500,,,,,,
학생회관,김밥천국,신라면,3000,,,,,,
학생회관,김밥천국,틈새라면,3300,,,,,,
학생회관,김밥천국,진라면(순한맛),2500,,,,,,
학생회관,김밥천국,※ 라면 치즈추가,500,,,,,,
학생회관,김밥천국,참치마요 비빔밥,3800,,,,,,
학생회관,김밥천국,참치 마그마요 비빔밥,4000,,,,,,
학생회관,김밥천국,국물라볶이,4500,,,,,,
학생회관,김밥천국,로제떡볶이,5500,,,,,,
학생회관,김밥천국,※ 셀프주먹밥 추가(세트),1500,,,,,,
학생회관,김밥천국,※ 치즈추가,500,,,,,,
학생회관,김밥천국,육회비빔밥,5500,,,,,,
학생회관,김밥천국,돈육 순두부찌개,4800,,,,,,
학생회관,김밥천국,스팸치즈 순두부찌개,5500,,,,,,
학생회관,김밥천국,떡만두국,4200,,,,,,
학생회관,김밥천국,물냉면,4000,,,,,,
학생회관,김밥천국,비빔냉면,4500,,,,,,
학생회관,김밥천국,잔치국수,3500,,,,,,
학생회관,김밥천국,떡갈비+물냉면,6000,,,,,,
학생회관,김밥천국,떡갈비+비빔냉면,6500,,,,,,
학생회관,김밥천국,칼만두,4300,,,,,,
학생회관,김밥천국,스팸치즈 순두부찌개,5500,,,,,,
학생회관,김밥천국,떡만두국,4200,,,,,,
학생회관,김밥천국,김치말이국수,4000,,,,,,
군자관,계절밥상,주간식단표 참고,7000,,,,,,
