순번,개설대학,개설학과전공,학수번호,분반,교과목명,이수구분,선택영역,"학년
(학기)",학점,이론,실습,"수업
유형","학점교류
수강가능",요일 및 강의시간,강의실,"메인
교수명",주관학과,수강대상및유의사항,강좌유형,사이버강좌,강의언어,"외국인
전용","내국인
전용"
1,대양휴머니티칼리지,대양휴머니티칼리지,009352,001,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 09:00~10:30,세101,노지현,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
2,대양휴머니티칼리지,대양휴머니티칼리지,009352,002,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 09:00~10:30,세102,정운규,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
3,대양휴머니티칼리지,대양휴머니티칼리지,009352,003,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 10:30~12:00,세102,정운규,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
4,대양휴머니티칼리지,대양휴머니티칼리지,009352,004,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 09:00~10:30,세103,이서현,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
5,대양휴머니티칼리지,대양휴머니티칼리지,009352,005,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 10:30~12:00,세103,이서현,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
6,대양휴머니티칼리지,대양휴머니티칼리지,009352,006,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 16:30~18:00,세201,XU WENXIA,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
7,대양휴머니티칼리지,대양휴머니티칼리지,009352,007,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 10:30~12:00,세101,노지현,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
8,대양휴머니티칼리지,대양휴머니티칼리지,009353,001,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세103,양윤실,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
9,대양휴머니티칼리지,대양휴머니티칼리지,009353,002,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 13:30~15:00,세102,XU WENXIA,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
10,대양휴머니티칼리지,대양휴머니티칼리지,009353,003,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세102,XU WENXIA,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
11,대양휴머니티칼리지,대양휴머니티칼리지,009353,004,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세203,정영교,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
12,대양휴머니티칼리지,대양휴머니티칼리지,009353,005,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세202,신은옥,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
13,대양휴머니티칼리지,대양휴머니티칼리지,009353,006,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 13:30~15:00,세202,신은옥,국어국문학과,"외국인대상과목, 고급(TOPIK Level 4-6)",,,한국어,Y,
14,대양휴머니티칼리지,대양휴머니티칼리지,009354,001,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세204,우보의,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
15,대양휴머니티칼리지,대양휴머니티칼리지,009354,002,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세101,이현주,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
16,대양휴머니티칼리지,대양휴머니티칼리지,009354,003,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 10:30~12:00,세204,우보의,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
17,대양휴머니티칼리지,대양휴머니티칼리지,009354,004,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세103,이지은,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
18,대양휴머니티칼리지,대양휴머니티칼리지,009354,005,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 10:30~12:00,세102,김서형,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
19,대양휴머니티칼리지,대양휴머니티칼리지,009354,006,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세203,정운규,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
20,대양휴머니티칼리지,대양휴머니티칼리지,009354,007,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 10:30~12:00,세205,정영교,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
21,대양휴머니티칼리지,대양휴머니티칼리지,009355,001,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세203,나은선,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
22,대양휴머니티칼리지,대양휴머니티칼리지,009355,002,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세102,김서형,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
23,대양휴머니티칼리지,대양휴머니티칼리지,009355,003,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 15:00~16:30,세203,나은선,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
24,대양휴머니티칼리지,대양휴머니티칼리지,009355,004,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세204,우보의,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
25,대양휴머니티칼리지,대양휴머니티칼리지,009355,005,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 15:00~16:30,세102,김서형,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
26,대양휴머니티칼리지,대양휴머니티칼리지,009355,006,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세205,이현주,국어국문학과,"외국인대상과목, 고급(TOPIK Level 4-6)",,,한국어,Y,
27,대양휴머니티칼리지,대양휴머니티칼리지,009355,007,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 15:00~16:30,세101,정영교,국어국문학과,"외국인대상과목, 고급(TOPIK Level 4-6)",,,한국어,Y,
28,대양휴머니티칼리지,대양휴머니티칼리지,009356,001,한국전통문화의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,월 수 10:30~12:00,세202,시지은,대양휴머니티칼리지,외국인대상강좌(한국어과정),,,한국어,Y,
29,대양휴머니티칼리지,대양휴머니티칼리지,009356,002,한국전통문화의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,월 수 13:30~15:00,세202,시지은,대양휴머니티칼리지,외국인대상강좌(한국어과정),,,한국어,Y,
30,대양휴머니티칼리지,대양휴머니티칼리지,009356,003,한국전통문화의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,월 수 15:00~16:30,세202,시지은,대양휴머니티칼리지,외국인대상강좌(한국어과정),,,한국어,Y,
31,대양휴머니티칼리지,대양휴머니티칼리지,009356,004,한국전통문화의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,수 금 10:30~12:00,세108,Shion Kang,대양휴머니티칼리지,외국인대상강좌(영어과정),,,영어,Y,
32,대양휴머니티칼리지,대양휴머니티칼리지,009357,001,서양철학의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,수 금 10:30~12:00,세101,David M Hindman,대양휴머니티칼리지,외국인대상강좌(영어과정),,,영어,Y,
33,대양휴머니티칼리지,대양휴머니티칼리지,009357,002,서양철학의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,수 금 12:00~13:30,세101,David M Hindman,대양휴머니티칼리지,외국인대상강좌(영어과정),,,영어,Y,
34,대양휴머니티칼리지,대양휴머니티칼리지,009357,003,서양철학의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,수 금 13:30~15:00,세101,David M Hindman,대양휴머니티칼리지,외국인대상강좌(영어과정),,,영어,Y,
35,대양휴머니티칼리지,대양휴머니티칼리지,009045,001,창업과기업가정신1,공통교양필수,,1,1.0,1,0,이론,,수 13:30~15:00,학대공연장,신하얀,대양휴머니티칼리지,2~4학년 전체,블렌디드강의,,한국어,,Y
36,대양휴머니티칼리지,대양휴머니티칼리지,009045,002,창업과기업가정신1,공통교양필수,,1,1.0,1,0,이론,,수 13:30~15:00,학대공연장,신하얀,대양휴머니티칼리지,2~4학년 전체,블렌디드강의,,한국어,,Y
37,대양휴머니티칼리지,대양휴머니티칼리지,009045,003,창업과기업가정신1,공통교양필수,,1,1.0,1,0,이론,,수 13:30~15:00,학대공연장,신하얀,대양휴머니티칼리지,2~4학년 전체,블렌디드강의,,한국어,,Y
38,대양휴머니티칼리지,대양휴머니티칼리지,009045,004,창업과기업가정신1,공통교양필수,,1,1.0,1,0,이론,,수 13:30~15:00,학대공연장,신하얀,대양휴머니티칼리지,2~4학년 전체,블렌디드강의,,한국어,,Y
39,대양휴머니티칼리지,대양휴머니티칼리지,009067,001,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 09:00~11:00,이203,진선영,대양휴머니티칼리지,인문사회계열1 대상과목,블렌디드강의,,한국어,,Y
40,대양휴머니티칼리지,대양휴머니티칼리지,009067,002,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 09:00~11:00,이103,양정현,대양휴머니티칼리지,인문사회계열1 대상과목,블렌디드강의,,한국어,,Y
41,대양휴머니티칼리지,대양휴머니티칼리지,009067,003,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 09:00~11:00,이202,이동재,대양휴머니티칼리지,인문사회계열1 대상과목,블렌디드강의,,한국어,,Y
42,대양휴머니티칼리지,대양휴머니티칼리지,009067,004,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 09:00~11:00,이102,최정윤,대양휴머니티칼리지,"국어국문학과1,교육학과1 대상과목",블렌디드강의,,한국어,,Y
43,대양휴머니티칼리지,대양휴머니티칼리지,009067,005,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 11:00~13:00,이203,진선영,대양휴머니티칼리지,국제학부1 대상과목,블렌디드강의,,한국어,,Y
44,대양휴머니티칼리지,대양휴머니티칼리지,009067,006,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 11:00~13:00,이103,양정현,대양휴머니티칼리지,"국제학부1,역사학과1 대상과목",블렌디드강의,,한국어,,Y
45,대양휴머니티칼리지,대양휴머니티칼리지,009067,007,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 11:00~13:00,이202,이동재,대양휴머니티칼리지,"행정학과1,미디어커뮤니케이션학과1 대상과목",블렌디드강의,,한국어,,Y
46,대양휴머니티칼리지,대양휴머니티칼리지,009067,008,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 11:00~13:00,이102,최정윤,대양휴머니티칼리지,"미디어커뮤니케이션학과1,법학부1 대상과목",블렌디드강의,,한국어,,Y
47,대양휴머니티칼리지,대양휴머니티칼리지,009067,009,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 14:00~16:00,이102,김준희,대양휴머니티칼리지,경상계열1 대상과목,블렌디드강의,,한국어,,Y
48,대양휴머니티칼리지,대양휴머니티칼리지,009067,010,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 14:00~16:00,이103,이영민,대양휴머니티칼리지,경상계열1 대상과목,블렌디드강의,,한국어,,Y
49,대양휴머니티칼리지,대양휴머니티칼리지,009067,011,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 14:00~16:00,이202,박이정,대양휴머니티칼리지,경상계열1 대상과목,블렌디드강의,,한국어,,Y
50,대양휴머니티칼리지,대양휴머니티칼리지,009067,012,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 14:00~16:00,이203,진선영,대양휴머니티칼리지,경상계열1 대상과목,블렌디드강의,,한국어,,Y
51,대양휴머니티칼리지,대양휴머니티칼리지,009067,013,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 16:00~18:00,이102,김준희,대양휴머니티칼리지,경영학부1 대상과목,블렌디드강의,,한국어,,Y
52,대양휴머니티칼리지,대양휴머니티칼리지,009067,014,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 16:00~18:00,이103,이영민,대양휴머니티칼리지,"경영학부1,경제학부1 대상과목",블렌디드강의,,한국어,,Y
53,대양휴머니티칼리지,대양휴머니티칼리지,009067,015,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 16:00~18:00,이202,박이정,대양휴머니티칼리지,"경제학부1,호텔관광외식경영학부1 대상과목",블렌디드강의,,한국어,,Y
54,대양휴머니티칼리지,대양휴머니티칼리지,009067,016,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,월 16:00~18:00,이203,이동재,대양휴머니티칼리지,호텔관광외식경영학부1 대상과목,블렌디드강의,,한국어,,Y
55,대양휴머니티칼리지,대양휴머니티칼리지,009067,017,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 09:00~11:00,이102,진선영,대양휴머니티칼리지,자연생명계열1 대상과목,블렌디드강의,,한국어,,Y
56,대양휴머니티칼리지,대양휴머니티칼리지,009067,018,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 09:00~11:00,이103,이영민,대양휴머니티칼리지,자연생명계열1 대상과목,블렌디드강의,,한국어,,Y
57,대양휴머니티칼리지,대양휴머니티칼리지,009067,019,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 09:00~11:00,이202,박이정,대양휴머니티칼리지,자연생명계열1 대상과목,블렌디드강의,,한국어,,Y
58,대양휴머니티칼리지,대양휴머니티칼리지,009067,020,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 09:00~11:00,이203,김준희,대양휴머니티칼리지,"자연생명계열1,수학통계학과1 대상과목",블렌디드강의,,한국어,,Y
59,대양휴머니티칼리지,대양휴머니티칼리지,009067,021,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 11:00~13:00,이102,진선영,대양휴머니티칼리지,"수학통계학과,화학과1 대상과목",블렌디드강의,,한국어,,Y
60,대양휴머니티칼리지,대양휴머니티칼리지,009067,022,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 11:00~13:00,이103,이영민,대양휴머니티칼리지,물리천문학과1 대상과목,블렌디드강의,,한국어,,Y
61,대양휴머니티칼리지,대양휴머니티칼리지,009067,023,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 14:00~16:00,이102,양정현,대양휴머니티칼리지,생명시스템학부1 대상과목,블렌디드강의,,한국어,,Y
62,대양휴머니티칼리지,대양휴머니티칼리지,009067,024,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 14:00~16:00,이103,신원재,대양휴머니티칼리지,생명시스템학부1 대상과목,블렌디드강의,,한국어,,Y
63,대양휴머니티칼리지,대양휴머니티칼리지,009067,025,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 14:00~16:00,이203,김준희,대양휴머니티칼리지,"생명시스템학부1,스마트생명산업융합학과1 대상과목",블렌디드강의,,한국어,,Y
64,대양휴머니티칼리지,대양휴머니티칼리지,009067,026,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 14:00~16:00,이203,이유진,대양휴머니티칼리지,회화과1 대상과목,블렌디드강의,,한국어,,Y
65,대양휴머니티칼리지,대양휴머니티칼리지,009067,027,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 14:00~16:00,이103,신원재,대양휴머니티칼리지,패션디자인학과1 대상과목,블렌디드강의,,한국어,,Y
66,대양휴머니티칼리지,대양휴머니티칼리지,009067,028,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 14:00~16:00,이202,이동재,대양휴머니티칼리지,음악과1 대상과목,블렌디드강의,,한국어,,Y
67,대양휴머니티칼리지,대양휴머니티칼리지,009067,029,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 16:00~18:00,이103,이영민,대양휴머니티칼리지,체육학과1 대상과목,블렌디드강의,,한국어,,Y
68,대양휴머니티칼리지,대양휴머니티칼리지,009067,030,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 16:00~18:00,이203,양정현,대양휴머니티칼리지,무용과1 대상과목,블렌디드강의,,한국어,,Y
69,대양휴머니티칼리지,대양휴머니티칼리지,009067,031,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 16:00~18:00,이102,최정윤,대양휴머니티칼리지,영화예술학과1 대상과목,블렌디드강의,,한국어,,Y
70,대양휴머니티칼리지,대양휴머니티칼리지,009067,032,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 16:00~18:00,이102,양정현,대양휴머니티칼리지,디자인이노베이션전공1 대상과목,블렌디드강의,,한국어,,Y
71,대양휴머니티칼리지,대양휴머니티칼리지,009067,033,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 16:00~18:00,이103,신원재,대양휴머니티칼리지,"디자인이노베이션전공1,만화애니메이션텍전공1 대상과목",블렌디드강의,,한국어,,Y
72,대양휴머니티칼리지,대양휴머니티칼리지,009067,034,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 16:00~18:00,이203,김준희,대양휴머니티칼리지,만화애니메이션텍전공1 대상과목,블렌디드강의,,한국어,,Y
73,대양휴머니티칼리지,대양휴머니티칼리지,009067,035,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,화 11:00~13:00,이202,박이정,대양휴머니티칼리지,1~4학년 전체,블렌디드강의,,한국어,,Y
74,대양휴머니티칼리지,대양휴머니티칼리지,009067,036,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 16:00~18:00,이202,이동재,대양휴머니티칼리지,1~4학년 전체,블렌디드강의,,한국어,,Y
75,대양휴머니티칼리지,대양휴머니티칼리지,009067,037,문제해결을위한글쓰기와발표,공통교양필수,,1,3.0,3,0,이론,,수 18:00~20:00,이203,이유진,대양휴머니티칼리지,SHP1 대상강좌,블렌디드강의,,한국어,,Y
76,대양휴머니티칼리지,대양휴머니티칼리지,009068,001,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 09:00~11:00,이102,이석배,대양휴머니티칼리지,IT계열 1 대상과목,블렌디드강의,,한국어,,Y
77,대양휴머니티칼리지,대양휴머니티칼리지,009068,002,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 09:00~11:00,이203,한경자,대양휴머니티칼리지,IT계열 1 대상과목,블렌디드강의,,한국어,,Y
78,대양휴머니티칼리지,대양휴머니티칼리지,009068,003,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 09:00~11:00,이202,강동원,대양휴머니티칼리지,IT계열 1 대상과목,블렌디드강의,,한국어,,Y
79,대양휴머니티칼리지,대양휴머니티칼리지,009068,004,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 09:00~11:00,이103,구익희,대양휴머니티칼리지,IT계열 1 대상과목,블렌디드강의,,한국어,,Y
80,대양휴머니티칼리지,대양휴머니티칼리지,009068,005,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 11:00~13:00,이102,이석배,대양휴머니티칼리지,IT계열 1 대상과목,블렌디드강의,,한국어,,Y
81,대양휴머니티칼리지,대양휴머니티칼리지,009068,006,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 11:00~13:00,이203,한경자,대양휴머니티칼리지,전자정보통신공학과1 대상과목,블렌디드강의,,한국어,,Y
82,대양휴머니티칼리지,대양휴머니티칼리지,009068,007,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 11:00~13:00,이202,강동원,대양휴머니티칼리지,전자정보통신공학과1 대상과목,블렌디드강의,,한국어,,Y
83,대양휴머니티칼리지,대양휴머니티칼리지,009068,008,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 11:00~13:00,이103,구익희,대양휴머니티칼리지,반도체시스템공학과1 대상과목,블렌디드강의,,한국어,,Y
84,대양휴머니티칼리지,대양휴머니티칼리지,009068,009,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 14:00~16:00,이102,최일규,대양휴머니티칼리지,컴퓨터공학과1 대상과목,블렌디드강의,,한국어,,Y
85,대양휴머니티칼리지,대양휴머니티칼리지,009068,010,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 14:00~16:00,이103,윤지선,대양휴머니티칼리지,컴퓨터공학과1 대상과목,블렌디드강의,,한국어,,Y
86,대양휴머니티칼리지,대양휴머니티칼리지,009068,011,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 14:00~16:00,이202,김헌중,대양휴머니티칼리지,소프트웨어학과1 대상과목,블렌디드강의,,한국어,,Y
87,대양휴머니티칼리지,대양휴머니티칼리지,009068,012,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 14:00~16:00,이203,한경자,대양휴머니티칼리지,"정보보호학과1, AI로봇학과1 대상과목",블렌디드강의,,한국어,,Y
88,대양휴머니티칼리지,대양휴머니티칼리지,009068,013,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 16:00~18:00,이102,최일규,대양휴머니티칼리지,AI로봇학과1 대상과목,블렌디드강의,,한국어,,Y
89,대양휴머니티칼리지,대양휴머니티칼리지,009068,014,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 16:00~18:00,이103,윤지선,대양휴머니티칼리지,AI로봇학과1 대상과목,블렌디드강의,,한국어,,Y
90,대양휴머니티칼리지,대양휴머니티칼리지,009068,015,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,금 16:00~18:00,이202,김헌중,대양휴머니티칼리지,AI로봇학과1 대상과목,블렌디드강의,,한국어,,Y
91,대양휴머니티칼리지,대양휴머니티칼리지,009068,016,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 09:00~11:00,이102,최일규,대양휴머니티칼리지,인공지능데이터사이언스학과1 대상과목,블렌디드강의,,한국어,,Y
92,대양휴머니티칼리지,대양휴머니티칼리지,009068,017,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 09:00~11:00,이202,강동원,대양휴머니티칼리지,인공지능데이터사이언스학과1 대상과목,블렌디드강의,,한국어,,Y
93,대양휴머니티칼리지,대양휴머니티칼리지,009068,018,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 09:00~11:00,이203,김헌중,대양휴머니티칼리지,인공지능데이터사이언스학과1 대상과목,블렌디드강의,,한국어,,Y
94,대양휴머니티칼리지,대양휴머니티칼리지,009068,019,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 09:00~11:00,이103,구익희,대양휴머니티칼리지,인공지능데이터사이언스학과1 대상과목,블렌디드강의,,한국어,,Y
95,대양휴머니티칼리지,대양휴머니티칼리지,009068,020,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 11:00~13:00,이102,최일규,대양휴머니티칼리지,AI로봇학과1 대상과목,블렌디드강의,,한국어,,Y
96,대양휴머니티칼리지,대양휴머니티칼리지,009068,021,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 09:00~11:00,이103,한경자,대양휴머니티칼리지,공과계열 1 대상과목,블렌디드강의,,한국어,,Y
97,대양휴머니티칼리지,대양휴머니티칼리지,009068,022,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 09:00~11:00,이102,윤지선,대양휴머니티칼리지,공과계열 1 대상과목,블렌디드강의,,한국어,,Y
98,대양휴머니티칼리지,대양휴머니티칼리지,009068,023,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 09:00~11:00,이202,구익희,대양휴머니티칼리지,공과계열 1 대상과목,블렌디드강의,,한국어,,Y
99,대양휴머니티칼리지,대양휴머니티칼리지,009068,024,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 09:00~11:00,이203,김헌중,대양휴머니티칼리지,공과계열 1 대상과목,블렌디드강의,,한국어,,Y
100,대양휴머니티칼리지,대양휴머니티칼리지,009068,025,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 11:00~13:00,이103,최일규,대양휴머니티칼리지,공과계열 1 대상과목,블렌디드강의,,한국어,,Y
101,대양휴머니티칼리지,대양휴머니티칼리지,009068,026,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 11:00~13:00,이102,윤지선,대양휴머니티칼리지,공과계열 1 대상과목,블렌디드강의,,한국어,,Y
102,대양휴머니티칼리지,대양휴머니티칼리지,009068,027,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 14:00~16:00,이102,이석배,대양휴머니티칼리지,"건축공학과1, 건축학과1 대상과목",블렌디드강의,,한국어,,Y
103,대양휴머니티칼리지,대양휴머니티칼리지,009068,028,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 14:00~16:00,이103,한경자,대양휴머니티칼리지,"건축학과1,건설환경공학과1 대상과목",블렌디드강의,,한국어,,Y
104,대양휴머니티칼리지,대양휴머니티칼리지,009068,029,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 14:00~16:00,이202,강동원,대양휴머니티칼리지,"건설환경공학과1,환경에너지공간융합학과1 대상과목",블렌디드강의,,한국어,,Y
105,대양휴머니티칼리지,대양휴머니티칼리지,009068,030,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 14:00~16:00,이203,김헌중,대양휴머니티칼리지,"지구자원시스템공학과1, 양자원자력공학과1 대상과목",블렌디드강의,,한국어,,Y
106,대양휴머니티칼리지,대양휴머니티칼리지,009068,031,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,목 16:00~18:00,이102,윤지선,대양휴머니티칼리지,기계공학과1 대상과목,블렌디드강의,,한국어,,Y
107,대양휴머니티칼리지,대양휴머니티칼리지,009068,032,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 11:00~13:00,이203,윤지선,대양휴머니티칼리지,우주항공드론공학부1 대상과목,블렌디드강의,,한국어,,Y
108,대양휴머니티칼리지,대양휴머니티칼리지,009068,033,서양철학:쟁점과토론,공통교양필수,,1,3.0,3,0,이론,,수 11:00~13:00,이103,구익희,대양휴머니티칼리지,우주항공드론공학부1 대상과목,블렌디드강의,,한국어,,Y
